X,"code","glottocode"
934,"chk","chuu1238"
935,"chl","cahu1264"
936,"cho","choc1276"
937,"chq","quio1240"
938,"chr","cher1273"
939,"chx","chan1310"
940,"chy","chey1247"
941,"cid","chim1301"
942,"cir","tiri1258"
943,"ciw","chip1241"
944,"cje","chru1239"
945,"cjh","uppe1439"
946,"cji","cham1309"
947,"cjm","east2563"
948,"cjo","ashe1273"
949,"cjp","cabe1245"
950,"cjs","shor1247"
951,"cjv","chua1250"
952,"ckf","kaqc1274"
953,"cks","tayo1238"
954,"cku","koas1236"
955,"cla","ronn1241"
956,"cld","chal1275"
957,"cle","leal1235"
958,"clh","chil1275"
959,"clk","idum1241"
960,"clm","clal1241"
961,"clo","lowl1260"
962,"clw","chul1246"
963,"cmi","embe1262"
964,"cng","nort2722"
965,"cnh","haka1240"
966,"cnk","khum1248"
967,"cnt","tepe1279"
968,"cob","chic1271"
969,"coc","coco1261"
970,"cod","coca1259"
971,"coe","kore1283"
972,"cof","colo1256"
973,"col","colu1241"
974,"com","coma1245"
975,"con","cofa1242"
976,"coo","como1259"
977,"cop","copt1239"
978,"cor","corn1251"
979,"cou","wame1240"
980,"coz","choc1279"
981,"cpa","pala1351"
982,"crc","lonw1238"
983,"crd","coeu1236"
984,"crg","mich1243"
985,"crh","crim1257"
986,"crk","plai1258"
987,"crn","elna1235"
988,"cro","crow1244"
989,"crs","sese1246"
990,"crt","iyoj1235"
991,"crw","chra1242"
992,"crx","carr1249"
993,"csb","kash1274"
994,"csh","asho1236"
995,"csi","coas1301"
996,"csk","jola1262"
997,"csl","chin1283"
998,"csm","cent2140"
999,"cso","soch1239"
1000,"css","muts1243"
1001,"csw","swam1239"
1002,"csy","siyi1240"
1003,"csz","coos1249"
1004,"cta","tata1258"
1005,"ctd","tedi1235"
1006,"ctg","chit1275"
1007,"ctm","chit1248"
1008,"cto","embe1260"
1009,"ctp","west2644"
1010,"cua","cuaa1241"
1011,"cub","cube1242"
1012,"cuc","usil1237"
1013,"cui","cuib1242"
1014,"cul","culi1244"
1015,"cup","cupe1243"
1016,"cut","teut1235"
1017,"cya","nopa1235"
1018,"cyb","cayu1262"
1019,"daa","dang1274"
1020,"dai","dayy1236"
1021,"daj","darf1239"
1022,"dak","dako1258"
1023,"dal","daha1245"
1024,"dan","dani1285"
1025,"dar","darg1241"
1026,"dau","dars1235"
1027,"dav","tait1250"
1028,"dba","bang1363"
1029,"dbj","idaa1241"
1030,"dbl","dyir1250"
1031,"ddj","jaru1254"
1032,"ddo","dido1241"
1033,"deg","dege1246"
1034,"der","deor1238"
1035,"des","desa1247"
1036,"dgc","casi1235"
1037,"dgz","daga1275"
1038,"dhg","dhan1270"
1039,"dhi","dhim1246"
1040,"dhl","dhal1245"
1041,"dhr","dhar1247"
1042,"dhu","dhur1239"
1043,"dhv","dehu1237"
1044,"did","didi1258"
1045,"dif","dier1241"
1046,"dim","dime1235"
1047,"dip","nort2815"
1048,"diq","diml1238"
1049,"dis","dima1251"
1050,"div","dhiv1236"
1051,"diz","ding1239"
1052,"djd","djam1255"
1053,"dji","djin1253"
1054,"djj","djee1236"
1055,"djk","ndyu1242"
1056,"djm","jams1239"
1057,"dju","kapr1245"
1058,"dkx","maza1304"
1059,"dlg","dolg1241"
1060,"dma","duma1253"
1061,"dmk","doma1260"
1062,"dni","lowe1415"
1063,"dny","deni1241"
1064,"doc","nort2735"
1065,"doo","dong1290"
1066,"drl","darl1243"
1067,"dru","ruka1240"
1068,"dry","dara1250"
1069,"dsb","lowe1385"
1070,"dse","dutc1253"
1071,"dsh","daas1238"
1072,"dta","daur1238"
1073,"duc","duna1248"
1074,"dud","huns1239"
1075,"duf","dumb1241"
1076,"duj","dhuw1249"
1077,"duo","dupa1235"
1078,"dur","diii1241"
1079,"dus","dumi1241"
1080,"duu","drun1238"
1081,"dyi","djim1235"
1082,"dyy","dyaa1242"
1083,"efi","efik1245"
1084,"ega","egaa1242"
1085,"eip","eipo1242"
1086,"ekg","ekar1243"
1087,"eko","koti1238"
1088,"eky","east2342"
1089,"emb","emba1238"
1090,"eme","emer1243"
1091,"emi","muss1246"
1092,"eml","emil1243"
1093,"emp","nort2972"
1094,"ems","paci1278"
1095,"enh","tund1254"
1096,"eno","engg1245"
1097,"enq","enga1252"
1098,"erg","siee1239"
1099,"erk","sout2856"
1100,"ese","esee1248"
1101,"esi","nort2943"
